track_name,artist_name,year,tempo,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,gender,ethnicity
The Time Is Now,Moloko,2000,127,A,Minor,68,54,74,35,0,27,16,Group,White (Irish)
Reach,S Club,2000,167,G,Major,59,75,79,1,0,15,3,Group,Multiracial (British)
Separated,Avant,2000,108,C,Major,79,64,48,24,0,23,2,Male,Black (American)
Crash and Burn,Savage Garden,2000,102,E,Major,58,21,60,18,0,8,2,Group,White (Australian)
Get It On Tonite,Montell Jordan,2000,99,A#,Minor,80,85,49,25,0,6,7,Male,Black (American)
Desert Rose,Sting,2000,111,C,Minor,57,13,65,1,0,11,3,Male,White (British)
Don't Think I'm Not,Kandi,2000,134,B,Major,85,43,62,6,0,3,4,Female,Black (American)
What'chu Like (feat. Tyrese),Da Brat,2000,99,A#,Minor,87,81,68,1,0,6,24,Female,Black (American)
Don't Give Up,Chicane,2000,132,A#,Minor,64,53,72,0,50,8,4,Group,White (British)
Cold as Ice,M.O.P.,2000,85,B,Minor,65,75,88,4,0,29,14,Group,Black (American)
I Turn To You,Melanie C,2000,135,C#,Major,52,7,80,0,0,31,3,Female,White (British)
I'm Outta Love - Radio Edit,Anastacia,2000,119,A#,Minor,76,64,71,39,0,7,5,Female,White (American)
He Can't Love U,Jagged Edge,2000,126,G#,Minor,72,50,83,11,0,23,20,Group,Black (American)
The Great Beyond,R.E.M.,2000,109,A#,Major,32,17,74,12,0,19,2,Group,White (American)
Most Girls,P!nk,2000,97,D,Minor,74,69,73,4,0,10,3,Female,White (American)
Back Here,BBMAK,2000,104,G,Major,62,91,94,6,0,8,3,Group,White (British)
Music,Madonna,2000,119,G,Major,73,87,80,0,8,14,6,Female,White (American)
It Wasn't Me,Shaggy,2001,94,C,Major,85,65,60,5,0,31,7,Male,Black (Jamaican)
Survivor,Destiny's Child,2001,161,C#,Minor,51,61,91,5,0,77,41,Group,Black (American)
Stan,Eminem,2001,80,F#,Minor,78,50,76,3,0,51,23,Male,White (American)
Can't Get You out of My Head,Kylie Minogue,2001,126,A,Minor,76,96,56,2,68,11,3,Female,White (Australian)
Lady Marmalade - Single Edit,Christina Aguilera,2001,109,F,Major,75,63,81,1,0,65,5,Female,Multiracial (American)
